price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
1430020.0,2.0,49.9,21.0,45.0,1.0,"ш. Перовское, д. 21, корп. 1","37.746552,55.736159",,,,,,,,,,,,,,,
2333100.0,3.0,66.0,2.0,59.0,1.0,"ул. Верейская, д. 29","7.605508,55.739732",,,,,,,,,,,,,,,
635804.0,1.0,23.7,15.0,18.0,0.0,"пос. Битца, б-р Южный, д. 6","37.593902,55.557536",,,,,,,,,,,,,,,
4639392.0,2.0,72.4,3.0,8.0,1.0,"ул. Часовая, стр. 1.1","37.535296,55.806783",,,,,,,,,,,,,,,
4797995.0,3.0,80.4,16.0,16.0,1.0,"наб. Симоновская, стр. 3","37.651574,55.715160",,,,,,,,,,,,,,,
2829076.0,1.0,34.4,29.0,36.0,0.0,"пр-т Ленинградский, вл. 8","37.580939,55.780335",,,,,,,,,,,,,,,
3903918.0,3.0,103.8,7.0,9.0,1.0,"корп. В14, д. 2",an,,,,,,,,,,,,,,,
2180000.0,1.0,42.0,23.0,31.0,1.0,"ул. Дыбенко, 7/1","37.479115,55.878536",,,,,,,,,,,,,,,
848802.0,1.0,21.9,39.0,45.0,0.0,"ш. Перовское, д. 21, корп. 1","37.746552,55.736159",,,,,,,,,,,,,,,
1255000.0,2.0,46.7,3.0,9.0,1.0,"Дубнинская ул.,  20к1","37.560673,55.871607",,,,,,,,,,,,,,,
6117954.0,4.0,98.9,31.0,32.0,1.0,"ул. Дербеневская, вл. 20","37.647720,55.721138",,,,,,,,,,,,,,,
4984944.0,3.0,104.6,7.0,12.0,1.0,"ВМО Кунцево у д. Захарково, кв-л 19, корп. 1","37.328324,55.777170",,,,,,,,,,,,,,,
550000.0,1.0,16.3,6.0,7.0,0.0,"ул. Адмирала Руднева,  20","37.516153,55.540414",,,,,,,,,,,,,,,
1723266.0,1.0,31.4,8.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
78424764.0,6.0,407.7,12.0,13.0,1.0,"ул. Братьев Фонченко, стр. 3","37.514697,55.731541",,,,,,,,,,,,,,,
3333333.0,4.0,152.2,2.0,2.0,1.0,"пр-т Новоясеневский, вл. 3","37.518425,55.612619",,,,,,,,,,,,,,,
3095000.0,1.0,44.0,3.0,29.0,1.0,"Шмитовский пр.,  39к8","37.526295,55.751665",,,,,,,,,,,,,,,
5090496.0,3.0,91.7,8.0,47.0,1.0,"ул. Летниковская, стр. 4","37.644333,55.727699",,,,,,,,,,,,,,,
1775628.0,3.0,66.0,6.0,21.0,1.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
2699999.0,1.0,36.6,7.0,24.0,1.0,"Шелепихинская наб.,  34к4зд8","37.513215,55.764060",,,,,,,,,,,,,,,
2668460.0,2.0,70.7,2.0,17.0,1.0,"ул. Автозаводская, вл. 23/75","37.632763,55.697894",,,,,,,,,,,,,,,
2731194.0,1.0,40.4,1.0,46.0,1.0,"пр-д Кутузовский, стр. 2","37.524839,55.739260",,,,,,,,,,,,,,,
1360000.0,1.0,37.3,15.0,22.0,1.0,"Ялтинская ул.,  1","37.611167,55.650429",,,,,,,,,,,,,,,
1656751.0,2.0,56.4,37.0,45.0,1.0,"ш. Перовское, д. 21, корп. 1","37.746552,55.736159",,,,,,,,,,,,,,,
6300000.0,5.0,145.0,1.0,17.0,1.0,"5-й Войковский пр.,  8к1","37.487874,55.817264",,,,,,,,,,,,,,,
1574240.0,3.0,63.9,6.0,16.0,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1","37.685269,56.207233",,,,,,,,,,,,,,,
2305333.0,2.0,55.5,3.0,12.0,1.0,"ул. Ивана Франко, корп. 4.2","37.454375,55.728170",,,,,,,,,,,,,,,
3140000.0,1.0,40.0,10.0,19.0,0.0,"пр-т Академика Сахарова, д. 7","37.643767,55.771145",,,,,,,,,,,,,,,
1450000.0,1.0,35.1,3.0,12.0,1.0,"2-я Пугачёвская ул.,  3к1","37.729844,55.797048",,,,,,,,,,,,,,,
6661839.0,2.0,59.8,2.0,10.0,1.0,"ул. Братьев Фонченко, стр. 8","37.512685,55.730147",,,,,,,,,,,,,,,
4950000.0,2.0,77.7,4.0,17.0,1.0,"ул. Пудовкина,  7","37.528307,55.726923",,,,,,,,,,,,,,,
2102656.0,1.0,40.1,21.0,43.0,1.0,"ул. 2-я Хуторская, вл. 34","37.571076,55.806110",,,,,,,,,,,,,,,
1632186.0,1.0,27.2,6.0,13.0,0.0,"Подольское ш., вл. 3","37.624480,55.713248",,,,,,,,,,,,,,,
1950000.0,2.0,43.0,11.0,12.0,1.0,"ул. Родченко,  2","37.630733,55.698767",,,,,,,,,,,,,,,
4066988.0,3.0,90.7,17.0,40.0,1.0,"ул. Большая Тульская, д. 10","37.618794,55.707755",,,,,,,,,,,,,,,
5282131.0,3.0,98.0,27.0,27.0,1.0,"ул. Дубининская, вл. 59-69, стр. 6","37.618794,55.707755",,,,,,,,,,,,,,,
2319492.0,2.0,55.7,4.0,12.0,1.0,"ул. Ивана Франко, корп. 4.2","37.618794,55.707755",,,,,,,,,,,,,,,
2090000.0,2.0,47.9,3.0,10.0,1.0,"ул. Родченко,  2","37.618794,55.707755",,,,,,,,,,,,,,,
2277635.0,2.0,64.8,19.0,48.0,1.0,"ул. Вишнёвая, д. 7","37.618794,55.707755",,,,,,,,,,,,,,,
11422832.0,3.0,140.1,70.0,85.0,1.0,"Краснопресненская набережная, вл. 14/15","37.445832,55.830210",,,,,,,,,,,,,,,
