prise,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
1550000.0,3,55.0,5,9,1.0,"Совхозная ул.,  8",,,,,,,,,,,,,,,,
1990000.0,1,39.0,18,25,0.0,"Береговой пр.,  5Ак2",,,,,,,,,,,,,,,,
1950000.0,2,43.0,11,12,1.0,"ул. Родченко,  2",,,,,,,,,,,,,,,,
2180000.0,1,42.0,23,31,1.0,"ул. Дыбенко, 7/1",,,,,,,,,,,,,,,,
5300000.0,Св,72.3,78,95,1.0,"Пресненская наб.,  12",,,,,,,,,,,,,,,,
1450000.0,1,41.2,10,16,1.0,"Ясеневая ул.,  12к1",,,,,,,,,,,,,,,,
8655450.0,5,276.0,24,25,1.0,"ул. Лавочкина,  34",,,,,,,,,,,,,,,,
4950000.0,2,77.7,4,17,1.0,"ул. Пудовкина,  7",,,,,,,,,,,,,,,,
4999000.0,3,88.7,24,27,1.0,"Шелепихинская наб.,  42к2",,,,,,,,,,,,,,,,
921500.0,1,36.5,9,9,1.0,"ул. Верхние Поля,  27с2",,,,,,,,,,,,,,,,
990000.0,1,32.4,1,9,1.0,"Домодедовская ул.,  1к1",,,,,,,,,,,,,,,,
2090000.0,2,47.9,3,10,1.0,"ул. Родченко,  2",,,,,,,,,,,,,,,,
4450000.0,4,123.0,17,22,1.0,"пр-т Будённого,  9",,,,,,,,,,,,,,,,
1610000.0,1,36.8,8,40,1.0,"Волоколамское ш.,  28",,,,,,,,,,,,,,,,
2720000.0,3,77.0,9,22,1.0,"ул. Академика Пилюгина,  14к4",,,,,,,,,,,,,,,,
2750000.0,4,96.8,5,5,1.0,"3-я Гражданская ул.,  58",,,,,,,,,,,,,,,,
1330000.0,2,53.8,10,16,1.0,"квартал № 2, 5с1",,,,,,,,,,,,,,,,
1299000.0,1,40.0,5,16,1.0,"пр-т Мира,  198к2",,,,,,,,,,,,,,,,
8700000.0,5,227.0,14,21,1.0,"Минская ул.,  1Гк2",,,,,,,,,,,,,,,,
2150000.0,2,50.0,7,12,1.0,"Большая Андроньевская ул.,  20",,,,,,,,,,,,,,,,
1699000.0,3,60.0,4,9,1.0,"Дорожная ул.,  16к3",,,,,,,,,,,,,,,,
1790000.0,2,54.2,16,16,1.0,"ул. Мичуринский Проспект, Олимпийская Деревня,  17",,,,,,,,,,,,,,,,
1045000.0,2,45.8,12,12,1.0,"Шипиловская ул.,  64к1",,,,,,,,,,,,,,,,
2700000.0,4,100.2,5,7,1.0,"6-я Кожуховская ул.,  24",,,,,,,,,,,,,,,,
1120000.0,1,33.2,6,9,1.0,"Профсоюзная ул.,  136к3",,,,,,,,,,,,,,,,
1100000.0,3,52.0,5,5,1.0,"3-я Парковая ул.,  36к4",,,,,,,,,,,,,,,,
