price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel,college,school,kindergarten
1520000.0,2.0,56.9,6.0,37.0,1.0,"Амурская ул.,  1Ак1","37.757853,55.807739",10520.0,2.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,4.0,2.0,4.0,1.0,3.0,6.0
264000.0,1.0,11.0,1.0,5.0,0.0,"Мытная ул.,  25","37.619971,55.716336",4400.0,1.0,6.0,1.0,0.0,2.0,6.0,0.0,3.0,2.0,0.0,6.0,6.0,5.0,5.0,2.0,5.0,5.0
2850000.0,2.0,68.0,10.0,15.0,1.0,"Ходынский б-р,  20А","37.523213,55.790782",7090.0,4.0,6.0,5.0,0.0,2.0,3.0,0.0,6.0,3.0,0.0,7.0,6.0,5.0,6.0,1.0,6.0,6.0
455000.0,1.0,10.0,1.0,5.0,0.0,"ул. Чаплыгина,  8с1","37.646830,55.763366",2009.9999999999998,4.0,6.0,2.0,0.0,4.0,6.0,0.0,6.0,2.0,3.0,6.0,6.0,6.0,7.0,1.0,6.0,5.0
700000.0,1.0,15.3,5.0,8.0,0.0,"Электрозаводская ул.,  14с1","37.706766,55.787513",6610.0,4.0,6.0,0.0,0.0,6.0,4.0,0.0,4.0,5.0,2.0,8.0,5.0,6.0,5.0,1.0,4.0,4.0
4850000.0,2.0,77.0,6.0,10.0,1.0,"ул. Палиха,  4","37.598582,55.783757",3330.0,4.0,6.0,5.0,0.0,2.0,4.0,0.0,5.0,3.0,5.0,6.0,7.0,6.0,5.0,4.0,6.0,5.0
620000.0,1.0,19.0,4.0,5.0,0.0,"ул. 50 лет Октября,  2к2","37.416754,55.653766",16990.0,1.0,6.0,0.0,0.0,3.0,4.0,0.0,2.0,3.0,0.0,7.0,5.0,2.0,3.0,1.0,6.0,6.0
1869000.0,3.0,73.8,10.0,16.0,1.0,"Варшавское ш., 154к2","37.597163,55.587453",18790.0,4.0,6.0,0.0,0.0,3.0,4.0,0.0,4.0,3.0,0.0,6.0,5.0,3.0,2.0,0.0,3.0,6.0
1280000.0,1.0,44.6,10.0,15.0,1.0,"6-я Радиальная ул.,  5к4","37.662506,55.603446",17200.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,3.0,1.0,2.0,4.0,5.0,6.0
1430000.0,3.0,65.0,3.0,9.0,1.0,"Ставропольская ул.,  58к1","37.770493,55.681920",12650.0,2.0,6.0,4.0,2.0,4.0,3.0,0.0,3.0,2.0,1.0,6.0,3.0,3.0,5.0,1.0,6.0,4.0
